name,category,subcategory,address,phone,rating,reviews,website,profileUrl,placeId
F45 Training Port Credit,Fitness & Sports,,"378 Lakeshore Rd E, Mississauga, ON L5G 1H5, Canada",(416) 527-0891,5,300,http://www.f45training.ca/portcredit,https://mississaugainsider.ca/directory/fitness/f45-training-port-credit-ixkzxp/,ChIJv9LpdvVHK4gRL8ELjsfD3LE
"Women Who Lift - Personal Trainer, Bootcamp & Fitness Mississauga",Fitness & Sports,,"3105 Unity Dr Unit 16, Mississauga, ON L5L 4L3, Canada",(647) 578-8115,5,183,https://womenwholift.com/pages/fitness-and-personal-trainer,https://mississaugainsider.ca/directory/fitness/women-who-lift-personal-trainer-bootcamp-and-fitness-mississ-918a4u/,ChIJi0KSQBZHK4gRcW1hoVkvZ2k
Auria Pilates,Fitness & Sports,,"39 Lakeshore Rd E Unit 300, Mississauga, ON L5G 1C9, Canada",(905) 271-6663,5,182,http://auriapilates.ca/,https://mississaugainsider.ca/directory/fitness/auria-pilates-qg322p/,ChIJfbRxLwBHK4gRcdgL8NqWVKE
StrongerNow Inc.,Fitness & Sports,,"579 Lakeshore Rd E E B, Mississauga, ON L5G 0B3, Canada",(416) 985-7097,5,137,http://strongernow.ca/,https://mississaugainsider.ca/directory/fitness/strongernow-inc-4qpu18/,ChIJiYS1vL2vLIgRgKcco28LJE8
Elite Boxing & Fitness,Fitness & Sports,,"560 Courtneypark Dr W, Mississauga, ON L5W 1L9, Canada",(289) 276-7318,5,133,https://eliteboxingfit.com/,https://mississaugainsider.ca/directory/fitness/elite-boxing-and-fitness-4ea0us/,ChIJqU6oBFBBK4gRRyU-5xKEJrs
J17 Performance Mississauga,Fitness & Sports,,"3413 Wolfedale Rd Unit 8, Mississauga, ON L5C 1V8, Canada",(416) 826-6084,5,105,https://www.j17performance.com/,https://mississaugainsider.ca/directory/fitness/j17-performance-mississauga-lisu0y/,ChIJV5okeyZHK4gRaIEftUJlvTc
TERNION Fitness & Athletics,Fitness & Sports,,"66 Thomas St 32 & 34, Mississauga, ON L5M 2P3, Canada",(905) 828-7298,5,88,http://ternion3.ca/,https://mississaugainsider.ca/directory/fitness/ternion-fitness-and-athletics-f2o8fg/,ChIJX9MoCb9BK4gRapK0NVte1Jw
FS8 Port Credit,Fitness & Sports,,"175 Lakeshore Rd W Second Floor, Unit 12, Mississauga, ON L5H 1G4, Canada",(416) 624-4461,5,86,https://fs8.com/studio/portcredit/,https://mississaugainsider.ca/directory/fitness/fs8-port-credit-ppu8vq/,ChIJB7-ExzNHK4gR2JzOe5u5kLw
I.S.A Calisthenics Gym - Indomitable Spirit Academy,Fitness & Sports,,"Inside Sky Fitness, 3345 Laird Rd #3, Mississauga, ON L5L 5R6, Canada",(416) 455-0213,5,86,https://www.indomitablespiritacademy.com/,https://mississaugainsider.ca/directory/fitness/i-s-a-calisthenics-gym-indomitable-spirit-academy-5s9whd/,ChIJYftljIxDK4gRle0uzhn4MQQ
Primal Strength Club,Fitness & Sports,,"145 Traders Blvd E #25, Mississauga, ON L4Z 2E5, Canada",(905) 370-0080,5,64,http://www.primalstrengthclub.com/,https://mississaugainsider.ca/directory/fitness/primal-strength-club-ej2mle/,ChIJAY_xM6BAK4gRaa9fdFl9XHA
